partner_code,site_code,site_name,habitat,latitude,longitude
USA-SFB,MAS-002,Marin Seagrass,seagrass,37.87699,-122.479939
USA-SFB,PMS-002,Point Molate Seagrass,seagrass,37.945814,-122.418998
USA-SFB,RBS-002,Richardson Bay Seagrass,seagrass,NA,NA
USA-SFB,RBR-001,Richardson Bay Restored Seagrass,seagrass,37.87948,-122.49335
USA-SFB,MDD-001,Marina District Dock,artificial,NA,NA
USA-SFB,BFI-001,Bay Farm Island Seagrass,seagrass,37.730588,-122.26328
USA-SFB,CBS-006,Crown Beach Seagrass,seagrass,37.75859,-122.26828
USA-SFB,KBS-001,Keller Beach Seagrass,seagrass,37.9216,-122.3878
USA-SFB,PSP-001,Point San Pablo Seagrass,seagrass,37.97068,-122.42309
USA-SFB,RBN-001,Richardson Bay Natural Seagrass,seagrass,37.87103,-122.48424
