taxonomic_id,level,kingdom,subkingdom,phylum_division,subphylum_subdivision,class,subclass,order,family,subfamily,tribe,genus,species,infrakingdom,superorder,phylum,subphylum,superclass,infraclass,suborder,infraorder,superfamily,parvorder,subterclass,section,subsection,infraphylum,parvphylum,gigaclass,subgenus,forma,megaclass
-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Class,Animalia,NA,NA,NA,Polyplacophora,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Class,Animalia,NA,NA,NA,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,Class,Animalia,NA,NA,NA,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,Family,Animalia,NA,NA,NA,Gastropoda,Vetigastropoda,Lepetellida,Fissurellidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Fissurelloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Hydrobiidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Truncatelloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Rissoidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Rissooidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Caecidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Truncatelloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Caenogastropoda incertae sedis,Cerithiidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Cerithioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Caenogastropoda incertae sedis,Cerithiopsidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Triphoroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Eulimidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Vanikoroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Calyptraeidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Velutinidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Velutinoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Neogastropoda,Muricidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Muricoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Neogastropoda,Turridae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Conoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Order,Animalia,NA,NA,NA,Gastropoda,Heterobranchia,Cephalaspidea,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,Euthyneura,NA,NA,NA,NA,Tectipleura,NA,NA,NA,NA,NA,NA,NA,NA
205,Family,Animalia,NA,NA,NA,Bivalvia,Protobranchia,Nuculanida,Nuculanidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Nuculanoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Mytilida,Mytilidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,Pteriomorphia,NA,NA,Mytiloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Pectinida,Pectinidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,Pteriomorphia,NA,NA,Pectinoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Pectinida,Anomiidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,Pteriomorphia,NA,NA,Anomioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Galeommatida,Lasaeidae,NA,NA,NA,NA,NA,Imparidentia,Mollusca,NA,NA,Heteroconchia,NA,NA,Galeommatoidea,NA,Euheterodonta,NA,NA,NA,NA,NA,NA,NA,NA
229,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Cardiida,Cardiidae,NA,NA,NA,NA,NA,Imparidentia,Mollusca,NA,NA,Heteroconchia,NA,NA,Cardioidea,NA,Euheterodonta,NA,NA,NA,NA,NA,NA,NA,NA
