table_id,column_name,value
oyster-2025-reef-metadata-deployment,tidal_zone,intertidal
oyster-2025-reef-metadata-deployment,tidal_zone,subtidal
oyster-2025-reef-metadata-deployment,water_present,TRUE
oyster-2025-reef-metadata-deployment,water_present,FALSE
oyster-2025-reef-metadata-deployment,water_depth_unit,cm
oyster-2025-reef-metadata-deployment,logger_deployed,TRUE
oyster-2025-reef-metadata-deployment,logger_deployed,FALSE
oyster-2025-reef-metadata-deployment,spat_stick,biobox
oyster-2025-reef-metadata-deployment,spat_stick,PVC
oyster-2025-reef-metadata-retrieval,tidal_zone,intertidal
oyster-2025-reef-metadata-retrieval,tidal_zone,subtidal
oyster-2025-reef-metadata-retrieval,water_present,TRUE
oyster-2025-reef-metadata-retrieval,water_present,FALSE
oyster-2025-reef-metadata-retrieval,water_depth_unit,cm
oyster-2025-oyster-height,inside_or_outside_biobox,inside
oyster-2025-oyster-height,inside_or_outside_biobox,outside
oyster-transect-metadata-monitoring-v1,intertidal_habitat,TRUE
oyster-transect-metadata-monitoring-v1,intertidal_habitat,FALSE
oyster-transect-metadata-monitoring-v1,reef_building_oysters,TRUE
oyster-transect-metadata-monitoring-v1,reef_building_oysters,FALSE
oyster-transect-metadata-monitoring-v1,density_methodology,excavation
oyster-transect-metadata-monitoring-v1,density_methodology,no excavation
oyster-count-monitoring-v1,live_or_box,live
oyster-count-monitoring-v1,live_or_box,box
oyster-count-monitoring-v1,density_methodology,excavation
oyster-count-monitoring-v1,density_methodology,no excavation
oyster-length-monitoring-v1,live_or_box,live
oyster-length-monitoring-v1,live_or_box,box
oyster-substrate-composition-monitoring-v1,cover_type,live oyster
oyster-substrate-composition-monitoring-v1,cover_type,box oyster
oyster-substrate-composition-monitoring-v1,cover_type,cultch
oyster-substrate-composition-monitoring-v1,cover_type,shell hash
oyster-substrate-composition-monitoring-v1,cover_type,large shell material
oyster-substrate-composition-monitoring-v1,cover_type,sediment
oyster-substrate-composition-monitoring-v1,cover_type,rock
oyster-substrate-composition-monitoring-v1,cover_type,other primary
oyster-substrate-composition-monitoring-v1,cover_type,canopy taxa
