scientific_id,name,rank,id,parent_id
urn:lsid:marinespecies.org:taxname:2,Animalia,Kingdom,2,NA
urn:lsid:marinespecies.org:taxname:3,Plantae,Kingdom,3,NA
urn:lsid:marinespecies.org:taxname:6,Bacteria,Kingdom,6,NA
urn:lsid:marinespecies.org:taxname:7,Chromista,Kingdom,7,NA
urn:lsid:marinespecies.org:taxname:51,Mollusca,Phylum,51,urn:lsid:marinespecies.org:taxname:2
urn:lsid:marinespecies.org:taxname:55,Polyplacophora,Class,55,urn:lsid:marinespecies.org:taxname:51
urn:lsid:marinespecies.org:taxname:57,Neoloricata,Subclass,57,urn:lsid:marinespecies.org:taxname:55
urn:lsid:marinespecies.org:taxname:90,Acanthochitonina,Suborder,90,urn:lsid:marinespecies.org:taxname:382003
urn:lsid:marinespecies.org:taxname:91,Acanthochitonidae,Family,91,urn:lsid:marinespecies.org:taxname:385402
urn:lsid:marinespecies.org:taxname:101,Gastropoda,Class,101,urn:lsid:marinespecies.org:taxname:51
urn:lsid:marinespecies.org:taxname:105,Bivalvia,Class,105,urn:lsid:marinespecies.org:taxname:51
urn:lsid:marinespecies.org:taxname:106,Protobranchia,Subclass,106,urn:lsid:marinespecies.org:taxname:105
urn:lsid:marinespecies.org:taxname:111,Fissurellidae,Family,111,urn:lsid:marinespecies.org:taxname:156486
urn:lsid:marinespecies.org:taxname:119,Littorinidae,Family,119,urn:lsid:marinespecies.org:taxname:14766
urn:lsid:marinespecies.org:taxname:120,Hydrobiidae,Family,120,urn:lsid:marinespecies.org:taxname:722756
urn:lsid:marinespecies.org:taxname:121,Assimineidae,Family,121,urn:lsid:marinespecies.org:taxname:722756
urn:lsid:marinespecies.org:taxname:123,Rissoidae,Family,123,urn:lsid:marinespecies.org:taxname:14767
urn:lsid:marinespecies.org:taxname:126,Caecidae,Family,126,urn:lsid:marinespecies.org:taxname:722756
urn:lsid:marinespecies.org:taxname:127,Turritellidae,Family,127,urn:lsid:marinespecies.org:taxname:14769
urn:lsid:marinespecies.org:taxname:128,Cerithiidae,Family,128,urn:lsid:marinespecies.org:taxname:14769
urn:lsid:marinespecies.org:taxname:130,Cerithiopsidae,Family,130,urn:lsid:marinespecies.org:taxname:14780
urn:lsid:marinespecies.org:taxname:131,Triphoridae,Family,131,urn:lsid:marinespecies.org:taxname:14780
urn:lsid:marinespecies.org:taxname:132,Epitoniidae,Family,132,urn:lsid:marinespecies.org:taxname:14781
urn:lsid:marinespecies.org:taxname:135,Eulimidae,Family,135,urn:lsid:marinespecies.org:taxname:387336
urn:lsid:marinespecies.org:taxname:141,Calyptraeidae,Family,141,urn:lsid:marinespecies.org:taxname:387334
urn:lsid:marinespecies.org:taxname:143,Velutinidae,Family,143,urn:lsid:marinespecies.org:taxname:387339
urn:lsid:marinespecies.org:taxname:145,Naticidae,Family,145,urn:lsid:marinespecies.org:taxname:14776
urn:lsid:marinespecies.org:taxname:146,Neogastropoda,Order,146,urn:lsid:marinespecies.org:taxname:224570
urn:lsid:marinespecies.org:taxname:148,Muricidae,Family,148,urn:lsid:marinespecies.org:taxname:15138
urn:lsid:marinespecies.org:taxname:149,Buccinidae,Family,149,urn:lsid:marinespecies.org:taxname:382214
urn:lsid:marinespecies.org:taxname:151,Nassariidae,Family,151,urn:lsid:marinespecies.org:taxname:382214
