protocol,table_id,level,column_name,data_type,missing_values,uuid_identity
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,sample_event_id,STRING,enforce,TRUE
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,partner_code,STRING,enforce,TRUE
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,site_code,STRING,enforce,TRUE
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,site_name,STRING,enforce,
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,transect,TINYINT,enforce,TRUE
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,quadrat,INT,enforce,TRUE
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,sample_collection_date,DATE,enforce,TRUE
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,scientific_name,STRING,enforce,TRUE
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,cover_method,STRING,warn,
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,point_count,INT,allow,
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,points_in_quadrat,INT,allow,
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,cover_code,DOUBLE,warn,
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,percent_cover,DOUBLE,warn,
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,sediment_type,STRING,allow,
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,cover_quadrat_dimensions,STRING,warn,
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,cover_sample_notes,STRING,allow,
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,table_id,STRING,enforce,TRUE
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,row_uuid,STRING,enforce,
Seagrass Monitoring,seagrass-cover-monitoring-v1,2,input_filename,STRING,enforce,
Seagrass Monitoring,seagrass-macroinvertebrates-monitoring-v1,2,sample_event_id,STRING,enforce,TRUE
Seagrass Monitoring,seagrass-macroinvertebrates-monitoring-v1,2,partner_code,STRING,enforce,TRUE
Seagrass Monitoring,seagrass-macroinvertebrates-monitoring-v1,2,site_code,STRING,enforce,TRUE
Seagrass Monitoring,seagrass-macroinvertebrates-monitoring-v1,2,site_name,STRING,enforce,
Seagrass Monitoring,seagrass-macroinvertebrates-monitoring-v1,2,transect,TINYINT,enforce,TRUE
Seagrass Monitoring,seagrass-macroinvertebrates-monitoring-v1,2,quadrat,INT,enforce,TRUE
Seagrass Monitoring,seagrass-macroinvertebrates-monitoring-v1,2,sample_collection_date,DATE,enforce,TRUE
Seagrass Monitoring,seagrass-macroinvertebrates-monitoring-v1,2,scientific_name,STRING,enforce,TRUE
Seagrass Monitoring,seagrass-macroinvertebrates-monitoring-v1,2,macro_invert_id,STRING,warn,
Seagrass Monitoring,seagrass-macroinvertebrates-monitoring-v1,2,size_mm,DOUBLE,warn,
Seagrass Monitoring,seagrass-macroinvertebrates-monitoring-v1,2,macro_invert_sample_notes,STRING,allow,
